owner_id,original_owner_id,species_id,is_legendary,is_mythical,is_ultra_beast,is_shiny,iv_hp,iv_atk,iv_def,iv_spatk,iv_spdef,iv_speed
494670627429416970,494670627429416970,545,False,False,False,False,15,21,22,0,9,29
494670627429416970,494670627429416970,87,False,False,False,False,6,4,27,23,5,4
494670627429416970,494670627429416970,477,False,False,False,False,6,24,19,13,25,22
494670627429416970,494670627429416970,146,True,False,False,False,20,16,7,22,2,9
494670627429416970,494670627429416970,49,False,False,False,False,29,20,27,3,8,29
494670627429416970,494670627429416970,428,False,False,False,False,21,4,6,22,8,12
494670627429416970,494670627429416970,400,False,False,False,False,1,17,26,25,1,6
494670627429416970,494670627429416970,614,False,False,False,False,0,4,30,6,28,0
494670627429416970,494670627429416970,765,False,False,False,False,20,21,2,8,21,28
494670627429416970,494670627429416970,427,False,False,False,False,3,22,10,21,10,4
494670627429416970,494670627429416970,924,False,False,False,False,4,18,9,27,16,27
494670627429416970,494670627429416970,754,False,False,False,False,27,13,24,14,24,11
494670627429416970,494670627429416970,894,True,False,False,False,16,23,26,21,22,22
494670627429416970,494670627429416970,521,False,False,False,False,14,17,12,10,11,23
494670627429416970,494670627429416970,573,False,False,False,False,4,27,22,31,29,10
494670627429416970,494670627429416970,822,False,False,False,False,15,20,30,22,6,23
494670627429416970,494670627429416970,837,False,False,False,False,30,7,6,26,3,4
494670627429416970,494670627429416970,62,False,False,False,False,29,21,2,7,3,1
494670627429416970,494670627429416970,459,False,False,False,False,18,8,8,4,16,27
494670627429416970,494670627429416970,588,False,False,False,False,29,13,30,10,15,0
494670627429416970,494670627429416970,121,False,False,False,False,13,17,16,20,5,18
494670627429416970,494670627429416970,95,False,False,False,False,6,12,31,13,15,1
494670627429416970,494670627429416970,387,False,False,False,False,14,19,17,16,30,24
494670627429416970,494670627429416970,196,False,False,False,False,1,24,7,14,2,22
494670627429416970,494670627429416970,269,False,False,False,False,3,19,18,25,27,2
494670627429416970,494670627429416970,403,False,False,False,False,6,17,16,8,27,7
494670627429416970,494670627429416970,642,True,False,False,False,30,26,6,16,19,23
494670627429416970,494670627429416970,299,False,False,False,False,5,12,0,2,3,28
494670627429416970,494670627429416970,291,False,False,False,False,10,19,12,6,11,11
494670627429416970,494670627429416970,505,False,False,False,False,11,11,28,22,14,31
494670627429416970,494670627429416970,263,False,False,False,False,27,20,14,1,16,21
494670627429416970,494670627429416970,272,False,False,False,False,27,7,19,8,8,18
494670627429416970,494670627429416970,848,False,False,False,False,19,3,8,3,11,28
494670627429416970,494670627429416970,697,False,False,False,False,11,24,16,14,3,16
494670627429416970,494670627429416970,555,False,False,False,False,15,19,11,14,21,4
494670627429416970,494670627429416970,830,False,False,False,False,11,31,20,5,8,26
494670627429416970,494670627429416970,507,False,False,False,True,18,13,9,6,25,27
494670627429416970,494670627429416970,278,False,False,False,False,27,20,29,30,7,22
494670627429416970,494670627429416970,988,False,False,False,False,7,29,15,6,12,11
494670627429416970,494670627429416970,1004,True,False,False,False,1,29,28,4,26,27
494670627429416970,494670627429416970,488,True,False,False,False,9,21,4,3,20,9
494670627429416970,494670627429416970,14,False,False,False,False,24,4,9,13,1,11
494670627429416970,494670627429416970,178,False,False,False,False,10,13,23,0,21,15
494670627429416970,494670627429416970,371,False,False,False,False,25,13,29,5,7,7
494670627429416970,494670627429416970,82,False,False,False,False,14,13,6,6,6,17
494670627429416970,494670627429416970,335,False,False,False,True,2,7,11,19,1,12
494670627429416970,494670627429416970,474,False,False,False,False,6,27,26,0,4,15
494670627429416970,494670627429416970,134,False,False,False,False,13,22,17,16,6,16
494670627429416970,494670627429416970,385,False,True,False,False,29,23,20,17,27,4
494670627429416970,494670627429416970,563,False,False,False,False,3,20,23,10,16,8
